"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 15:16:35 GMT 2025","Tue Oct 14 15:16:35 GMT 2025","2","","com.example.InfoTest","","com.example.InfoTest","test2","test2()",""
"passed","Tue Oct 14 15:17:10 GMT 2025","Tue Oct 14 15:17:11 GMT 2025","437","","com.example.PlaywrightTest","","com.example.PlaywrightTest","homepageHasPlaywrightInTitle","homepageHasPlaywrightInTitle()",""
"passed","Tue Oct 14 15:16:35 GMT 2025","Tue Oct 14 15:16:35 GMT 2025","2","","com.example.InfoTest","","com.example.InfoTest","test3","test3()",""
"passed","Tue Oct 14 15:16:35 GMT 2025","Tue Oct 14 15:16:35 GMT 2025","31","","com.example.InfoTest","","com.example.InfoTest","test1","test1()",""
